Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
Сбой диска в СХД D261033388,СХД-48 (D261033388) сообщает о сбое диска №15.,СХД,Диск,D261033388
Камера отключена,"Система пишет, что камера отключена политикой конфиденциальности, хотя все разрешения даны. Ноутбук НК2-1404 (C223016111).",Ноутбук,Программное обеспечение,C223016111
Не работает кнопка Fn,"На ноутбуке НК2-3404 (C223094444) перестала работать кнопка Fn и, соответственно, все функциональные клавиши.",Ноутбук,Клавиатура,C223094444
Вопрос по установке второго диска,Можно ли установить второй SSD диск в ноутбук НК2-1404 v2 (C223103666)?,Ноутбук,Консультация,C223103666
Ремонт корпуса C111120655,Требуется ремонт корпуса ноутбука HK1-1427 (C111120655).,Ноутбук,Корпус,C111120655
Ноутбук не видит зарядку,Ноутбук НК2-3404 (C223094555) перестал видеть подключенный блок питания.,Ноутбук,Материнская плата,C223094555
Сломана матрица,Физическое повреждение матрицы на ноутбуке НК2-1404 (C223016222).,Ноутбук,Матрица,C223016222
Не определяется ОЗУ на сервере,Сервер СР2-5422 (D252111122) не определяет один из установленных модулей памяти.,Сервер,Материнская плата,D252111122
Тормозит система,Ноутбук НК2-3404 (C223094666) стал очень медленно работать после последних обновлений.,Ноутбук,Программное обеспечение,C223094666
Проблема с сервером СИЛА,Сервер СР2-6412 (D253010355) не загружается. Прошу помочь.,Сервер,Сервер,D253010355
Не работает Wi-Fi C223103777,Wi-Fi модуль на ноутбуке НК2-1404 v2 (C223103777) не работает.,Ноутбук,Wi-fi модуль,C223103777
Замена аккумулятора C223094777,Требуется замена аккумулятора на ноутбуке НК2-3404 (C223094777).,Ноутбук,Аккумулятор,C223094777
Не работает БП C223016333,Не работает блок питания от ноутбука HK2-1404 (C223016333).,Ноутбук,Блок питания,C223016333
Сильный шум вентилятора,Ноутбук НК2-3404 (C223094888) очень сильно шумит.,Ноутбук,Вентилятор,C223094888
Хрипит динамик,Хрипит один из динамиков на ноутбуке НК2-1404 (C223016444).,Ноутбук,Динамики,C223016444
Замена диска в СХД-24,"Нужна замена диска в СХД-24, серийный номер D261044255.",СХД,Диск,D261044255
Не работает микрофон C223094999,На ноутбуке НК2-3404 (C223094999) не работает встроенный микрофон.,Ноутбук,Материнская плата,C223094999
Помехи в наушниках,При подключении наушников к ноутбуку НК2-1404 v2 (C223103888) слышны сильные помехи и шум.,Ноутбук,Jack,C223103888
Камера не фокусируется,"Веб-камера на ноутбуке НК2-3404 (C223095111) не может сфокусироваться, изображение всегда размытое.",Ноутбук,Камера,C223095111
Не работает ряд клавиш,На клавиатуре ноутбука HK1-1425 (C112040233) не работает верхний ряд клавиш (цифры).,Ноутбук,Клавиатура,C112040233
Вопрос по подключению док-станции,Какая док-станция совместима с ноутбуком НК2-3404 (C223095222)?,Ноутбук,Консультация,C223095222
Выломаны USB порты,Физически повреждены USB порты на ноутбуке НК2-1404 (C223016555).,Ноутбук,Корпус,C223016555
Ноутбук не выключается,"Ноутбук НК2-3404 (C223095333) не выключается через меню ""Пуск"". Экран гаснет, но питание не отключается.",Ноутбук,Материнская плата,C223095333
Желтое пятно на экране,На экране ноутбука НК2-1404 v2 (C223103999) появилось желтое пятно.,Ноутбук,Матрица,C223103999
Увеличение памяти сервера,Требуется увеличить объем ОЗУ на сервере СР2-5422 (D252111144).,Сервер,Оперативная память,D252111144
Зависает ноутбук,Ноутбук HK2-1404 (C223016666) периодически намертво зависает. Помогает только принудительная перезагрузка.,Ноутбук,Программное обеспечение,C223016666
Сервер ушел в оффлайн,Сервер СР1-5811 (D262050088) внезапно ушел в оффлайн.,Сервер,Сервер,D262050088
Wi-Fi отключается под нагрузкой,При скачивании больших файлов на ноутбуке НК2-3404 (C223095444) отключается Wi-Fi.,Ноутбук,Wi-fi модуль,C223095444
Аккумулятор держит 15 минут,Ноутбук HK1-1427 (C111120711) работает от аккумулятора не более 15 минут.,Ноутбук,Аккумулятор,C111120711
Нужен блок питания для HK1-1425,Прошу подобрать блок питания для ноутбука Сила HK1-1425 (C112040255).,Ноутбук,Блок питания,C112040255
Ошибка вентилятора при загрузке,"При включении ноутбука НК2-1404 (C223016777) появляется ошибка ""Fan Error"".",Ноутбук,Вентилятор,C223016777
Тихий звук,Очень тихий звук на ноутбуке НК2-3404 (C223095666).,Ноутбук,Динамики,C223095666
Проблема с диском D253010388,Сервер СР2-6412 (D253010388) сообщает об ошибках чтения/записи на одном из дисков.,Сервер,Диск,D253010388
Разболтан разъем для наушников,"Разъем для наушников на ноутбуке НК2-1404 v2 (C223104111) разболтан, штекер плохо держится.",Ноутбук,Jack,C223104111
Не работает шторка камеры,Сломался механизм физической шторки камеры на ноутбуке НК2-3404 (C223095777).,Ноутбук,Камера,C223095777
Залита клавиатура,Залил клавиатуру ноутбука HK2-1404 (C223016888) кофе. Часть клавиш не работает.,Ноутбук,Клавиатура,C223016888
Консультация по виртуализации,Возможна ли установка и стабильная работа Hyper-V на сервере СР1-5811 (D262050099)?,Сервер,Консультация,D262050099
Вмятина на корпусе,На крышке ноутбука НК2-3404 (C223095888) появилась вмятина.,Ноутбук,Корпус,C223095888
Не работает HDMI порт,Ноутбук НК2-1404 (C223016999) не выводит изображение через HDMI порт. Кабель и монитор исправны.,Ноутбук,Материнская плата,C223016999
Разбита матрица C223095999,Разбит экран на ноутбуке НК2-3404 (C223095999).,Ноутбук,Матрица,C223095999
Ноутбук не видит память,Ноутбук НК2-1404 v2 (C223104222) перестал видеть один из двух модулей оперативной памяти.,Ноутбук,Материнская плата,C223104222
Синий экран смерти,Ноутбук НК2-3404 (C223096111) постоянно показывает синий экран.,Ноутбук,Программное обеспечение,C223096111
Проблема с загрузкой сервера,Сервер СР2-5422 (D252111166) не загружается после обновления прошивки.,Сервер,Сервер,D252111166
Wi-Fi показывает ограниченное подключение,"Ноутбук НК2-1404 (C223017111) подключается к Wi-Fi, но пишет ""Без доступа к Интернету"".",Ноутбук,Wi-fi модуль,C223017111
Ноутбук выключается при 30% заряда,"Ноутбук НК2-3404 (C223096222) внезапно выключается, когда заряд аккумулятора доходит до 30-40%.",Ноутбук,Аккумулятор,C223096222
Сломался блок питания,Сломался блок питания от ноутбука НК2-1404 v2 (C223104333).,Ноутбук,Блок питания,C223104333
Перегрев ноутбука,Ноутбук НК2-3404 (C223096333) сильно перегревается в играх и выключается.,Ноутбук,Вентилятор,C223096333
Нет звука C223017222,На ноутбуке HK2-1404 (C223017222) нет звука.,Ноутбук,Динамики,C223017222
Вышел из строя диск на сервере,На сервере СР2-5422 (D252111177) вышел из строя диск. Требуется замена.,Сервер,Диск,D252111177
Не работает микрофон гарнитуры,При подключении гарнитуры к ноутбуку НК2-3404 (C223096444) не работает микрофон.,Ноутбук,Jack,C223096444
Зеленое изображение с камеры,Камера на ноутбуке НК2-1404 (C223017333) показывает все в зеленых тонах.,Ноутбук,Камера,C223017333
Не печатает одна буква,"На клавиатуре ноутбука НК2-3404 (C223096555) не работает буква ""А"".",Ноутбук,Клавиатура,C223096555
Вопрос по BIOS,Как сбросить пароль на BIOS на ноутбуке НК2-1404 v2 (C223104444)?,Ноутбук,Консультация,C223104444
Потертости на корпусе,На корпусе ноутбука HK1-1425 (C112040288) сильные потертости. Возможна ли полировка или замена?,Ноутбук,Корпус,C112040288
Ноутбук включается через раз,Ноутбук НК2-3404 (C223096666) включается не с первого раза. Иногда нужно нажать на кнопку несколько раз.,Ноутбук,Материнская плата,C223096666
Светлое пятно на экране,На экране ноутбука НК2-1404 (C223017444) появилось яркое светлое пятно.,Ноутбук,Матрица,C223017444
Замена ОЗУ,Нужно заменить планку ОЗУ на 4ГБ на 8ГБ в ноутбуке НК2-3404 (C223096777).,Ноутбук,Оперативная память,C223096777
Проблема с активацией Office,Не могу активировать предустановленный Microsoft Office на ноутбуке НК2-1404 (C223017555).,Ноутбук,Программное обеспечение,C223017555
Недоступен iDRAC/BMC,На сервере СР2-5422 (D252111188) стал недоступен интерфейс удаленного управления BMC.,Сервер,Материнская плата,D252111188
Низкая скорость Wi-Fi,Очень низкая скорость по Wi-Fi на ноутбуке НК2-3404 (C223096888).,Ноутбук,Wi-fi модуль,C223096888
Не калибруется аккумулятор,Не удается выполнить калибровку аккумулятора на ноутбуке НК2-1404 v2 (C223104555).,Ноутбук,Аккумулятор,C223104555
Перетерся кабель блока питания,У основания штекера перетерся кабель блока питания ноутбука НК2-3404 (C223096999).,Ноутбук,Блок питания,C223096999
Посторонний звук из ноутбука,"Из ноутбука НК2-1404 (C223017666) доносится странный треск, предположительно от вентилятора.",Ноутбук,Вентилятор,C223017666
Искажения звука,На высокой громкости звук из динамиков ноутбука НК2-3404 (C223097111) сильно искажается.,Ноутбук,Динамики,C223097111
Диск в СХД вышел из строя,Прошу заменить диск в СХД-48 (D261033411).,СХД,Диск,D261033411
Плохой контакт в разъеме наушников,Плохой контакт в аудио-разъеме ноутбука НК2-1404 (C223017777).,Ноутбук,Jack,C223017777
Камера не работает C223097222,Не работает веб-камера на ноутбуке НК2-3404 (C223097222).,Ноутбук,Камера,C223097222
Сломана клавиша,"Сломана клавиша ""Shift"" на ноутбуке НК2-1404 v2 (C223104666).",Ноутбук,Клавиатура,C223104666
Нужна консультация по серверу,Добрый день! Нужна консультация по первоначальной настройке сервера СР2-5422 (D252111199).,Сервер,Консультация,D252111199
Сломано крепление крышки,Сломалось крепление крышки на ноутбуке НК2-3404 (C223097333).,Ноутбук,Корпус,C223097333
Не работают USB 3.0,На ноутбуке НК2-1404 (C223017888) перестали работать порты USB 3.0. Порты 2.0 работают.,Ноутбук,Материнская плата,C223017888
Мерцание подсветки экрана,На ноутбуке НК2-3404 (C223097444) мерцает подсветка экрана.,Ноутбук,Матрица,C223097444
Ноутбук не видит новую ОЗУ,"Установил новую планку памяти в ноутбук НК2-1404 (C223017999), но система ее не видит.",Ноутбук,Оперативная память,C223017999
Не загружается Windows,"Windows не загружается на ноутбуке НК2-3404 (C223097555), висит на этапе загрузки.",Ноутбук,Программное обеспечение,C223097555
Сервер не включается D262050111,Сервер СР1-5811 (D262050111) не включается.,Сервер,Сервер,D262050111
Wi-Fi не подключается к 5ГГц,Ноутбук НК2-1404 v2 (C223104777) не видит и не подключается к сетям Wi-Fi 5ГГц.,Ноутбук,Wi-fi модуль,C223104777
Индикатор заряда мигает,На ноутбуке НК2-3404 (C223097666) постоянно мигает индикатор заряда аккумулятора.,Ноутбук,Аккумулятор,C223097666
Ремонт блока питания D261033422,Вышел из строя один из блоков питания СХД-48 (D261033422). Требуется ремонт или замена.,СХД,Блок питания,D261033422
Замена вентилятора в ноутбуке,Прошу заменить вентилятор в ноутбуке НК2-3404 (C223097777).,Ноутбук,Вентилятор,C223097777
Дребезжат динамики,На ноутбуке НК2-1404 (C223018111) дребезжат динамики.,Ноутбук,Динамики,C223018111
RAID массив деградировал,На сервере СР2-5422 (D252111211) деградировал RAID массив из-за выхода из строя диска.,Сервер,Диск,D252111211
Проблема с микрофоном C223097888,Очень тихий микрофон на ноутбуке НК2-3404 (C223097888).,Ноутбук,Материнская плата,C223097888
Не работает камера C223104888,"Не работает камера на ноутбуке Сила НК2-1404 v2, SN: C223104888.",Ноутбук,Камера,C223104888
Замена клавиатуры C223097999,Требуется замена клавиатуры на ноутбуке НК2-3404 (C223097999).,Ноутбук,Клавиатура,C223097999
Консультация,Как обновить прошивку на ноутбуке НК2-1404 (C223018222)?,Ноутбук,Консультация,C223018222
Ремонт корпуса C223098111,Нужен ремонт корпуса для ноутбука НК2-3404 (C223098111).,Ноутбук,Корпус,C223098111
Ноутбук не видит внешние устройства,"Ноутбук НК2-1404 v2 (C223104999) перестал определять любые устройства, подключенные по USB.",Ноутбук,Материнская плата,C223104999
Полосы на экране C223098222,Полосы на экране ноутбука НК2-3404 (C223098222).,Ноутбук,Матрица,C223098222
Синий экран IRQL_NOT_LESS_OR_EQUAL,"Ноутбук НК2-1404 (C223018333) падает в синий экран с ошибкой IRQL_NOT_LESS_OR_EQUAL, вероятно, проблема в ОЗУ.",Ноутбук,Оперативная память,C223018333
Не обновляется Windows,Ошибка при обновлении Windows на ноутбуке НК2-3404 (C223098333).,Ноутбук,Программное обеспечение,C223098333
Проблема с сервером D252111233,Сервер СР2-5422 (D252111233) не загружается.,Сервер,Сервер,D252111233
Нестабильный Wi-Fi,На ноутбуке НК2-1404 (C223018444) очень нестабильно работает Wi-Fi.,Ноутбук,Wi-fi модуль,C223018444
Ноутбук не видит батарею,"Ноутбук НК2-3404 (C223098444) работает только от сети, батарею не видит.",Ноутбук,Аккумулятор,C223098444
Проблема с зарядкой,"Ноутбук НК2-1404 v2 (C223105111) то заряжается, то нет. Проблема в разъеме или блоке питания.",Ноутбук,Блок питания,C223105111
Остановка вентилятора C223098555,Вентилятор на ноутбуке НК2-3404 (C223098555) не крутится.,Ноутбук,Вентилятор,C223098555
Нет звука C223018555,Пропал звук на ноутбуке НК2-1404 (C223018555).,Ноутбук,Динамики,C223018555
Замена диска D252111244,Нужна замена диска на сервере СР2-5422 (D252111244).,Сервер,Диск,D252111244
Проблема с аудио,"На ноутбуке НК2-3404 (C223098666) не работает ни микрофон, ни наушники при подключении.",Ноутбук,Jack,C223098666
Камера не найдена C223105222,"Приложение Камера пишет ""не удается найти камеру"" на ноутбуке НК2-1404 v2 (C223105222).",Ноутбук,Камера,C223105222
Залипает клавиша Ctrl,На ноутбуке НК2-1404 (C223018666) залипает левый Ctrl.,Ноутбук,Клавиатура,C223018666
Консультация по СХД,Нужна консультация по настройке СХД-24 (D261044288).,СХД,Консультация,D261044288
Треснула рамка матрицы,Треснула рамка вокруг экрана на ноутбуке НК2-3404 (C223098777).,Ноутбук,Корпус,C223098777
Не работает тачпад C223105333,Перестал работать тачпад на ноутбуке НК2-1404 v2 (C223105333).,Ноутбук,Материнская плата,C223105333
Артефакты на экране C223018777,Появились артефакты на экране ноутбука НК2-1404 (C223018777).,Ноутбук,Матрица,C223018777
Ошибка памяти C223098888,Ноутбук НК2-3404 (C223098888) выдает ошибку памяти при самотестировании.,Ноутбук,Оперативная память,C223098888
Проблема с драйверами,Не могу найти подходящий драйвер для видеокарты на ноутбуке НК2-1404 (C223018888).,Ноутбук,Консультация,C223018888
Сервер не отвечает D252111255,Сервер СР2-5422 (D252111255) не отвечает.,Сервер,Сервер,D252111255
Wi-Fi не работает,Wi-Fi на ноутбуке НК2-3404 (C223098999) перестал работать.,Ноутбук,Wi-fi модуль,C223098999
Аккумулятор неисправен,"Система пишет, что аккумулятор неисправен и рекомендуется его замена. Ноутбук НК2-1404 v2 (C223105444).",Ноутбук,Аккумулятор,C223105444
Ноутбук не заряжается C223018999,Ноутбук НК2-1404 (C223018999) не заряжается.,Ноутбук,Блок питания,C223018999
Шумит вентилятор C223099111,Шумит вентилятор на ноутбуке НК2-3404 (C223099111).,Ноутбук,Вентилятор,C223099111
Нет звука C223105555,Нет звука на ноутбуке НК2-1404 v2 (C223105555).,Ноутбук,Динамики,C223105555
Проблема с диском C223019111,Ноутбук НК2-1404 (C223019111) не видит жесткий диск.,Ноутбук,Диск,C223019111
Сломан аудио-разъем,Сломан разъем для наушников на ноутбуке НК2-3404 (C223099222).,Ноутбук,Jack,C223099222
Камера не работает C223019222,Не работает камера на ноутбуке НК2-1404 (C223019222).,Ноутбук,Камера,C223019222
Не работает клавиатура,На ноутбуке НК2-1404 v2 (C223105666) полностью перестала работать клавиатура.,Ноутбук,Клавиатура,C223105666
Консультация по апгрейду,Хочу добавить память и SSD в ноутбук НК2-3404 (C223099333). Нужна консультация.,Ноутбук,Консультация,C223099333
Поврежден корпус C223019333,Поврежден корпус ноутбука НК2-1404 (C223019333).,Ноутбук,Корпус,C223019333
Ноутбук не включается C223105777,Ноутбук НК2-1404 v2 (C223105777) не включается.,Ноутбук,Материнская плата,C223105777
Разбит экран C223099444,Разбит экран на ноутбуке НК2-3404 (C223099444).,Ноутбук,Матрица,C223099444
Проблема с памятью C223019444,"Ноутбук НК2-1404 (C223019444) выдает ошибки, связанные с памятью.",Ноутбук,Оперативная память,C223019444
Не грузится система C223105888,На ноутбуке НК2-1404 v2 (C223105888) не загружается операционная система.,Ноутбук,Программное обеспечение,C223105888
Сервер оффлайн D252111288,Сервер СР2-5422 (D252111288) ушел в оффлайн.,Сервер,Сервер,D252111288
Wi-Fi не видит сети C223099555,Ноутбук НК2-3404 (C223099555) не видит ни одной Wi-Fi сети.,Ноутбук,Wi-fi модуль,C223099555
Аккумулятор C223106111,Аккумулятор на ноутбуке НК2-1404 v2 (C223106111) не держит заряд.,Ноутбук,Аккумулятор,C223106111
Проблема с блоком питания C223020111,Блок питания для ноутбука HK2-1404 (C223020111) перестал работать.,Ноутбук,Блок питания,C223020111
Сервер СР2-5422 // Ошибка вентилятора // D252120101,Сервер D252120101 выдает ошибку вентилятора системы при загрузке.,Сервер,Вентилятор,D252120101
Нет звука на ноутбуке C112050101,На ноутбуке HK1-1425 (C112050101) полностью отсутствует звук.,Ноутбук,Динамики,C112050101
СХД-48 // Диск вышел из строя // D261050101,В СХД D261050101 вышел из строя диск в 5 слоте.,СХД,Диск,D261050101
Не работает разъем Jack C223110101,На ноутбуке НК2-3404 (C223110101) не работает разъем для наушников.,Ноутбук,Jack,C223110101
Проблема с камерой C111130101,Камера на ноутбуке HK1-1427 (C111130101) показывает перевернутое изображение.,Ноутбук,Камера,C111130101
Не работает клавиатура C223020222,На ноутбуке HK2-1404 (C223020222) не работает несколько клавиш.,Ноутбук,Клавиатура,C223020222
Консультация по обновлению BIOS // D252120202,Добрый день! Нужна консультация по процедуре обновления BIOS на сервере СР2-5422 (D252120202).,Сервер,Консультация,D252120202
Повреждение корпуса C223110202,На ноутбуке НК2-3404 (C223110202) треснула нижняя часть корпуса.,Ноутбук,Корпус,C223110202
Ноутбук не включается // C223106222,Ноутбук НК2-1404 v2 (C223106222) не включается и не подает признаков жизни.,Ноутбук,Материнская плата,C223106222
Артефакты на экране // C112050222,На экране ноутбука HK1-1425 (C112050222) появились графические артефакты.,Ноутбук,Матрица,C112050222
Сервер СР2-6412 // Ошибка ОЗУ // D253020101,Сервер D253020101 сообщает об ошибке оперативной памяти.,Сервер,Оперативная память,D253020101
Проблема с ПО C222100101,На ноутбуке НК2-1404 (C222100101) постоянно зависает операционная система.,Ноутбук,Программное обеспечение,C222100101
Неисправность сервера // D252040101,Сервер СР2-5422 (D252040101) не загружается.,Сервер,Сервер,D252040101
Сервер СР1-5811 // Нет линка SFP // D262060101,На сервере D262060101 не работает SFP модуль.,Сервер,SFP модуль,D262060101
Слабый сигнал Wi-Fi C111130222,"На ноутбуке HK1-1427 (C111130222) очень слабый сигнал Wi-Fi, возможно проблема в антенне.",Ноутбук,Wi-fi антенна,C111130222
Не работает Wi-Fi модуль C223110333,На ноутбуке НК2-3404 (C223110333) не определяется Wi-Fi модуль.,Ноутбук,Wi-fi модуль,C223110333
Вздулся аккумулятор C223106333,На ноутбуке НК2-1404 v2 (C223106333) вздулся аккумулятор.,Ноутбук,Аккумулятор,C223106333
Нет зарядки // C223020333,Ноутбук HK2-1404 (C223020333) не заряжается.,Ноутбук,Блок питания,C223020333
Вентилятор шумит C112050333,На ноутбуке HK1-1425 (C112050333) сильно шумит вентилятор.,Ноутбук,Вентилятор,C112050333
Хрипят динамики C223110444,На ноутбуке НК2-3404 (C223110444) хрипят динамики.,Ноутбук,Динамики,C223110444
BIOS не видит диск C222100222,В BIOS ноутбука НК2-1404 (C222100222) не определяется жесткий диск.,Ноутбук,Диск,C222100222
Сломан разъем Jack C111130333,Физически поврежден разъем для наушников на ноутбуке HK1-1427 (C111130333).,Ноутбук,Jack,C111130333
Камера показывает черное изображение C223106444,Веб-камера на ноутбуке НК2-1404 v2 (C223106444) показывает черный экран.,Ноутбук,Камера,C223106444
Не работает часть клавиатуры C223020444,На ноутбуке HK2-1404 (C223020444) не работает несколько клавиш.,Ноутбук,Клавиатура,C223020444
Консультация по настройке RAID // D253020202,Нужна помощь в настройке RAID на сервере СР2-6412 (D253020202).,Сервер,Консультация,D253020202
Сломаны петли корпуса C223110555,На ноутбуке НК2-3404 (C223110555) сломаны петли крышки.,Ноутбук,Корпус,C223110555
Ноутбук перезагружается // C112050444,Ноутбук HK1-1425 (C112050444) циклически перезагружается.,Ноутбук,Материнская плата,C112050444
Битые пиксели на матрице C223106555,На экране ноутбука НК2-1404 v2 (C223106555) обнаружены битые пиксели.,Ноутбук,Матрица,C223106555
Ноутбук не видит ОЗУ C111130444,Ноутбук HK1-1427 (C111130444) не видит вторую планку оперативной памяти.,Ноутбук,Материнская плата,C111130444
Ошибка активации ОС C223110666,На ноутбуке НК2-3404 (C223110666) не удается активировать Windows.,Ноутбук,Программное обеспечение,C223110666
Неисправность СХД // D261050202,СХД-48 (D261050202) не доступна по сети.,СХД,Сервер,D261050202
Нет сигнала на SFP порту D262060202,На сервере СР1-5811 (D262060202) нет сигнала на SFP порту.,Сервер,SFP модуль,D262060202
Отваливается Wi-Fi C222100333,На ноутбуке НК2-1404 (C222100333) постоянно отключается Wi-Fi.,Ноутбук,Wi-fi модуль,C222100333
АКБ не заряжается больше 60% C223106666,Аккумулятор на ноутбуке НК2-1404 v2 (C223106666) не заряжается выше 60%.,Ноутбук,Аккумулятор,C223106666
Не работает блок питания // C223020555,Перестал работать блок питания от ноутбука HK2-1404 (C223020555).,Ноутбук,Блок питания,C223020555
Сервер СР2-5422 // Перегрев // D252120303,Сервер D252120303 выключается из-за перегрева.,Сервер,Вентилятор,D252120303
Не работают динамики C223110777,На ноутбуке НК2-3404 (C223110777) пропал звук из динамиков.,Ноутбук,Динамики,C223110777
Замена диска в СХД D261050303,Требуется замена диска в СХД-48 (D261050303).,СХД,Диск,D261050303
Микрофон не работает C112050555,На ноутбуке HK1-1425 (C112050555) не работает микрофон.,Ноутбук,Jack,C112050555
Искаженное изображение с камеры C223106777,Веб-камера на ноутбуке НК2-1404 v2 (C223106777) показывает искаженное изображение.,Ноутбук,Камера,C223106777
Не работает подсветка клавиатуры C223020666,На ноутбуке HK2-1404 (C223020666) не работает подсветка клавиатуры.,Ноутбук,Клавиатура,C223020666
Вопрос по драйверам // C223110888,Добрый день. Где можно скачать последние драйверы для ноутбука НК2-3404 (C223110888)?,Ноутбук,Консультация,C223110888
Трещина на корпусе C111130555,На корпусе ноутбука HK1-1427 (C111130555) обнаружена трещина.,Ноутбук,Корпус,C111130555
Не работают USB порты C223106888,На ноутбуке НК2-1404 v2 (C223106888) не работают USB порты.,Ноутбук,Материнская плата,C223106888
Вертикальная полоса на экране C223020777,На экране ноутбука HK2-1404 (C223020777) появилась вертикальная полоса.,Ноутбук,Матрица,C223020777
Сервер не стартует после добавления ОЗУ // D252120404,Сервер СР2-5422 (D252120404) не стартует после установки новой памяти.,Сервер,Оперативная память,D252120404
Зависает при загрузке C222100444,Ноутбук НК2-1404 (C222100444) зависает на логотипе при загрузке.,Ноутбук,Программное обеспечение,C222100444
Сервер не включается D252040202,Сервер СР2-5422 (D252040202) не включается.,Сервер,Сервер,D252040202
Замена SFP модуля // D262060303,Требуется замена SFP модуля на сервере СР1-5811 (D262060303).,Сервер,SFP модуль,D262060303
Проблемы с Wi-Fi антенной C223110999,"На ноутбуке НК2-3404 (C223110999) очень плохой прием Wi-Fi, скорее всего проблема с антенной.",Ноутбук,Wi-fi антенна,C223110999
Wi-Fi адаптер не найден C112050666,Ноутбук HK1-1425 (C112050666) не видит Wi-Fi адаптер.,Ноутбук,Wi-fi модуль,C112050666
Быстро разряжается аккумулятор C223106999,Новый ноутбук НК2-1404 v2 (C223106999) быстро разряжается.,Ноутбук,Аккумулятор,C223106999
Сгорел блок питания C223020888,Сгорел блок питания от ноутбука HK2-1404 (C223020888).,Ноутбук,Блок питания,C223020888
Вентилятор работает на максимум C111130666,Вентилятор на ноутбуке HK1-1427 (C111130666) постоянно работает на максимальных оборотах.,Ноутбук,Вентилятор,C111130666
Звук только в одном динамике C223111111,На ноутбуке НК2-3404 (C223111111) звук идет только из одного динамика.,Ноутбук,Динамики,C223111111
СХД не видит новый диск D261050404,СХД-48 (D261050404) не видит новый установленный диск.,СХД,Материнская плата,D261050404
Проблема с аудио-разъемом C222100555,Плохой контакт в аудио-разъеме ноутбука НК2-1404 (C222100555).,Ноутбук,Jack,C222100555
Камера не работает // C223107111,На ноутбуке НК2-1404 v2 (C223107111) не работает камера.,Ноутбук,Камера,C223107111
Не работает тачпад C223020999,Перестал работать тачпад на ноутбуке HK2-1404 (C223020999).,Ноутбук,Клавиатура,C223020999
Консультация СХД D261050505,Нужна консультация по расширению СХД-48 (D261050505).,СХД,Консультация,D261050505
Отломана часть корпуса C112050777,На ноутбуке HK1-1425 (C112050777) отломан кусок корпуса.,Ноутбук,Корпус,C112050777
Перезагрузка при подключении USB C223111222,Ноутбук НК2-3404 (C223111222) перезагружается при подключении устройств в USB.,Ноутбук,Материнская плата,C223111222
Засветы на экране C111130777,На экране ноутбука HK1-1427 (C111130777) видны сильные засветы.,Ноутбук,Матрица,C111130777
Ошибка оперативной памяти на сервере D253020303,Сервер СР2-6412 (D253020303) выдает ошибку ОЗУ.,Сервер,Оперативная память,D253020303
Не загружается ОС C223107222,На ноутбуке НК2-1404 v2 (C223107222) не загружается операционная система.,Ноутбук,Программное обеспечение,C223107222
Проблема с сервером D252040303,Сервер СР2-5422 (D252040303) не отвечает.,Сервер,Сервер,D252040303
Не работает SFP модуль D252120505,Вышел из строя SFP модуль на сервере СР2-5422 (D252120505).,Сервер,SFP модуль,D252120505
Плохой прием Wi-Fi C223021111,Ноутбук HK2-1404 (C223021111) плохо ловит Wi-Fi.,Ноутбук,Wi-fi антенна,C223021111
Отключается Wi-Fi модуль C223111333,На ноутбуке НК2-3404 (C223111333) периодически отключается Wi-Fi.,Ноутбук,Wi-fi модуль,C223111333
Замена АКБ C112050888,Требуется замена аккумулятора на ноутбуке HK1-1425 (C112050888).,Ноутбук,Аккумулятор,C112050888
Проблема с блоком питания D252120606,Вышел из строя один из блоков питания на сервере СР2-5422 (D252120606).,Сервер,Блок питания,D252120606
Шум от вентилятора в СХД D261050606,Сильно шумит вентилятор в СХД-48 (D261050606).,СХД,Вентилятор,D261050606
Не работает левый динамик C222100666,На ноутбуке НК2-1404 (C222100666) не работает левый динамик.,Ноутбук,Динамики,C222100666
Сервер не видит диск D262060404,Сервер СР1-5811 (D262060404) не видит один из дисков.,Сервер,Материнская плата,D262060404
Проблема с разъемом для гарнитуры C223107333,На ноутбуке НК2-1404 v2 (C223107333) не определяется гарнитура.,Ноутбук,Jack,C223107333
Размытое изображение с камеры C223021222,Камера на ноутбуке HK2-1404 (C223021222) показывает размытое изображение.,Ноутбук,Камера,C223021222
"Клавиша ""Пробел"" не срабатывает C223111444","На ноутбуке НК2-3404 (C223111444) плохо срабатывает клавиша ""Пробел"".",Ноутбук,Клавиатура,C223111444
Вопрос по прошивке BMC D252120707,Какая последняя версия прошивки BMC для сервера СР2-5422 (D252120707)?,Сервер,Консультация,D252120707
Люфт крышки ноутбука C111130888,Сильный люфт крышки на ноутбуке HK1-1427 (C111130888).,Ноутбук,Корпус,C111130888
Ноутбук не видит SSD C112050999,Ноутбук HK1-1425 (C112050999) не видит SSD диск.,Ноутбук,Материнская плата,C112050999
Горизонтальные полосы на экране C223107444,На экране ноутбука НК2-1404 v2 (C223107444) появились горизонтальные полосы.,Ноутбук,Матрица,C223107444
Замена оперативной памяти в СХД D261050707,Требуется замена ОЗУ в СХД-48 (D261050707).,СХД,Оперативная память,D261050707
Проблема с драйвером видеокарты C222100777,После обновления драйвера видеокарты на ноутбуке НК2-1404 (C222100777) черный экран.,Ноутбук,Программное обеспечение,C222100777
Сервер СР1-5811 // Не загружается // D262060505,Сервер D262060505 не загружается.,Сервер,Сервер,D262060505
